sample_name,team_site_location_id,sampleID,,collection_timestamp,hh:mm,latitude,longitude,geo_loc_name,county,place name,"city, nearest town","environmental feature (habitat) original, i.e. as described in the logsheet",environmental feature (habitat) curated,Elevation (meters),current land use,land use curated (according to EMP 500 Soil),"plant type/species (original entry, i.e. as described on logsheets)",plant species (curated) ,Vegetation Zone,soil temperature (°C),soil moisture (%),soil lab: % moisture,Soil Weight g  (DNA kit) ,DNA (ug/mL),DNA (ug/mL),10/12: DNA (μg/mL),soil_type,Litter type,Litter depth (approximation (cm),pH,pH_corrected,mg-C / kg of soil (method DOI:10.1080/00103629309368926),mg-N / kg of soil (method DOI: 10.1080/00103629309368926)
isd_5_site_4_loc_2_repl_2_DNA,isd_5_site_4_loc_2,66,6/15/16,15/06/2016,-,35.3331928,25.2905249,"Greece: Crete, Heraklion",Heraklion,seaside road between HCMR & Gournes,Gournes,near HCMR,beach; road,2,beach,roads/railroads; sand,Tree,,coastal and littoral,-,1.5,5.8214,0.2577,12.5,,,-,-,-,7,7,94.9,4.7
isd_5_site_5_loc_1_repl_2_DNA,isd_5_site_5_loc_1,67,6/15/16,15/06/2016,-,35.2839399,25.1656517,"Greece: Crete, Heraklion",Heraklion,north of Ag. Eirini,Skalani,"roadside, hill slope",forest; hillside; road,132,,intermixed hardwood & conifers; roads/railroads,tree,,lowland,-,-,6.0844,0.2529,11,,,-,-,-,-,NA,172.9,6.9
isd_5_site_5_loc_2_repl_2_DNA,isd_5_site_5_loc_2,68,6/15/16,15/06/2016,-,35.2839399,25.1656517,"Greece: Crete, Heraklion",Heraklion,north of Ag. Eirini,Skalani,"roadside, hill slope",forest; hillside; road,132,-,intermixed hardwood & conifers; roads/railroads,tree,,lowland,-,-,4.6191,0.2542,11.5,,,-,-,-,-,NA,142.2,5
isd_5_site_6_loc_1_repl_2_DNA,isd_5_site_6_loc_1,69,6/15/16,15/06/2016,-,35.2839981,25.1656567,"Greece: Crete, Heraklion",Heraklion,north of Ag. Eirini,Ampela,-,forest; hillside; road,132,pristine,intermixed hardwood & conifers; roads/railroads,Tree,,lowland,-,1,0.8215,0.2567,37.4,,,-,-,-,7,7,112.4,1.5
isd_5_site_6_loc_2_repl_2_DNA,isd_5_site_6_loc_2,70,6/15/16,15/06/2016,-,35.2839693,25.1657048,"Greece: Crete, Heraklion",Heraklion,north of Ag. Eirini,Ampela,-,forest; hillside; road,133,-,intermixed hardwood & conifers; roads/railroads,-,,lowland,-,0,0.1636,0.2542,13.4,,,-,-,-,9,9,94,0.9
isd_5_site_7_loc_1_repl_2_DNA,isd_5_site_7_loc_1,71,6/15/16,15/06/2016,-,35.2523009,25.1649309,"Greece: Crete, Heraklion",Heraklion,road to Kato Archanes,Archanes,Pine forest,forest,431,-,conifers,forest pine,Pinus pinea,sub-mountainous,-,0,3.9493,0.2552,14.1,,,-,-,-,8,8,140.8,3.4
isd_5_site_7_loc_2_repl_2_DNA,isd_5_site_7_loc_2,72,6/15/16,15/06/2016,-,35.2523199,25.1650902,"Greece: Crete, Heraklion",Heraklion,road to Kato Archanes,Archanes,Pine forest,forest,430,-,conifers,forest pine,Pinus pinea,sub-mountainous,-,0,0.9045,0.2583,15.1,,,-,-,-,8.5,8.5,118.2,0.9
isd_5_site_8_loc_1_repl_2_DNA,isd_5_site_8_loc_1,73,6/15/16,15/06/2016,-,35.2517999,25.1658395,"Greece: Crete, Heraklion",Heraklion,road to Kato Archanes,Archanes,-,forest; road,413,pristine,conifers; roads/railroads,-,,sub-mountainous,-,0.8,1.0017,0.2543,17.4,,,-,-,-,7.5,7.5,112.4,1.7
isd_5_site_8_loc_2_repl_2_DNA,isd_5_site_8_loc_2,74,6/15/16,15/06/2016,-,35.2518221,25.1658242,"Greece: Crete, Heraklion",Heraklion,road to Kato Archanes,Archanes,-,forest; road,412,-,conifers; roads/railroads,-,,sub-mountainous,-,0.8,1.2706,0.2503,17.3,,,-,-,-,7,7,118.8,1.8
isd_5_site_9_loc_1_repl_2_DNA,isd_5_site_9_loc_1,75,6/15/16,15/06/2016,-,35.2363548,25.1909111,"Greece: Crete, Heraklion",Heraklion,Stilianou Vineyard,Kounavi,vineyard,vineyard,389,agriculture,vine crops,grape vine  ,Vitex vinifera,sub-mountainous,-,0.5,6.5215,0.2509,16.8,,,-,-,-,8,8,75.6,1.9
isd_5_site_9_loc_2_repl_2_DNA,isd_5_site_9_loc_2,76,6/15/16,15/06/2016,-,35.2363548,25.1909111,"Greece: Crete, Heraklion",Heraklion,Stilianou Vineyard,Kounavi,vineyard,vineyard,389,agriculture,vine crops,grape vine  ,Vitex vinifera,sub-mountainous,-,-,4.2104,0.2506,28.6,,,-,-,-,-,NA,74.9,1.6
isd_5_site_10_loc_1_repl_2_DNA,isd_5_site_10_loc_1,77,6/15/16,15/06/2016,-,35.2360398,25.1911232,"Greece: Crete, Heraklion",Heraklion,Stilianou Vineyard,Kounavi,vineyard,vineyard,390,agriculture,vine crops,olive tree,Olea spp.,sub-mountainous,-,1,5.4631,0.2576,17.6,,,-,-,-,7,7,76.2,1.8
isd_5_site_10_loc_2_repl_2_DNA,isd_5_site_10_loc_2,78,6/15/16,15/06/2016,-,35.2360398,25.1911232,"Greece: Crete, Heraklion",Heraklion,Stilianou Vineyard,Kounavi,vineyard,vineyard,390,agriculture,vine crops,olive tree,Olea spp.,sub-mountainous,-,-,3.008,0.2592,18,,,-,-,-,-,NA,91.1,2.2
isd_6_site_1_loc_1_repl_2_DNA,isd_6_site_1_loc_1,79,2016-06-15T10:30,15/06/2016,10:30,35.3019,25.3664,"Greece: Crete, Heraklion",Heraklion,Hersonisos Highway - Kastelli Junction,Chersonisos,"grassland, roadside, slope, valley edge, olive trees",scrubland; road,151,-,shrub land; road,"shrub, grass (avena, bromus) ",Avena sativa,lowland,-,0.5,0.2527,0.2595,14.9,,,-,none,-,8,8,106.9,0.7
isd_6_site_1_loc_2_repl_2_DNA,isd_6_site_1_loc_2,80,2016-06-15T11:00,15/06/2016,11:00,35.3016,25.366,"Greece: Crete, Heraklion",Heraklion,Hersonisos Highway - Kastelli Junction,Chersonisos,"grassland, roadside, slope, valley edge, olive trees",scrubland; road,152,-,shrub land; road,"shrub, grass (avena, bromus) ",Avena sativa,lowland,-,0.5,0.1009,0.2519,13.3,,,-,none,-,7.8,7.8,108.9,0.8
isd_6_site_2_loc_1_repl_2_DNA,isd_6_site_2_loc_1,81,2016-06-15T14:00,15/06/2016,14:00,35.17727,25.4375,"Greece: Crete, Lassithi",Lassithi,Lasithi plateau near Ag. Charalampos,Psychro,"roadside, hill slope",scrubland; road; hillside,835,-,shrub land; road,-,,mountainous,-,0.5,12.5149,0.2515,43.7,,,-,-,-,8,8,103.1,7.9
isd_6_site_2_loc_2_repl_2_DNA,isd_6_site_2_loc_2,82,2016-06-15T14:20,15/06/2016,14:20,35.1773,25.4375,"Greece: Crete, Lassithi",Lassithi,Lasithi plateau near Ag. Charalampos,Psychro,bushy plant on the ground,scrubland; road; hillside,834,-,shrub land; road,-,,mountainous,-,0.5,11.7816,0.2533,29.6,,,-,-,-,8,8,106.5,6.7
isd_6_site_3_loc_1_repl_2_DNA,isd_6_site_3_loc_1,83,2016-06-15T15:00,15/06/2016,15:00,35.1851,25.5002,"Greece: Crete, Lassithi",Lassithi,"Lasithi plateau provincial road Neapoli - Chersonisos, NW of Lasithi",Mesa Lasithi,"hives, oaks, orchad (10m), drip irrig, light ground cover, not totally dry, down slope",woodland; hillside,834,agronomy,hardwoods; shrub land,oak,Quercus spp.,mountainous,-,-,3.0669,0.253,41.6,,,-,-,-,-,NA,19.5,1.6
isd_6_site_3_loc_2_repl_2_DNA,isd_6_site_3_loc_2,84,2016-06-15T15:24,15/06/2016,15:24,35.1851,25.5002,"Greece: Crete, Lassithi",Lassithi,"Lasithi plateau provincial road Neapoli - Chersonisos, NW of Lasithi",Mesa Lasithi,"hives, oaks, orchad (10m), drip irrig, light ground cover, not totally dry, down slope",woodland; hillside,834,agronomy,hardwoods; shrub land,oak,Quercus spp.,mountainous,-,-,3.6117,0.2514,32,,,-,-,-,-,NA,57.3,4
isd_6_site_4_loc_1_repl_2_DNA,isd_6_site_4_loc_1,85,2016-06-15T16:00,15/06/2016,16:00,35.1837,25.515,"Greece: Crete, Lassithi",Lassithi,"Lasithi plateau provincial road Neapoli - Chersonisos, NE of Lasithi",Mesa Lasithi,"Bromis spp., Avena spp., Factua spp.",woodland; hillside,863,mixed roadland,hardwoods; road ,walnut  ,Juglans regia,mountainous,-,-,6.7448,0.2506,10.4,,,-,-,-,-,NA,28.1,2.6
isd_6_site_4_loc_2_repl_2_DNA,isd_6_site_4_loc_2,86,2016-06-15T16:15,15/06/2016,16:15,35.1840913,25.51522739,"Greece: Crete, Lassithi",Lassithi,"Lasithi plateau provincial road Neapoli - Chersonisos, NE of Lasithi",Mesa Lasithi,"Bromis spp., Avena spp., Factua spp.",woodland; hillside; road,866,mixed roadland,hardwoods; road ,walnut  ,Juglans regia,mountainous,-,-,7.6053,0.2546,9.96,,,-,-,-,-,NA,21.8,2.2
isd_6_site_5_loc_1_repl_2_DNA,isd_6_site_5_loc_1,87,2016-06-15T18:00,15/06/2016,18:00,35.2075,25.5893,"Greece: Crete, Lassithi",Lassithi,road between Zenia & Ano Amygdaloi,Zenia,"below hilltop, slope. trees",scrubland; hillside; road,705,offroad access,shrub land,olive tree,Olea spp.,sub-mountainous,-,-,1.5245,0.2578,53.5,,,-,-,-,-,NA,22.3,2.1
isd_6_site_5_loc_2_repl_2_DNA,isd_6_site_5_loc_2,88,2016-06-15T18:15,15/06/2016,18:15,35.207,25.5885,"Greece: Crete, Lassithi",Lassithi,road between Zenia & Ano Amygdaloi,Zenia,"below hilltop, slope. trees",woodland; hillside; road,705,offroad access,shrub land,olive tree,Olea spp.,sub-mountainous,-,-,2.5395,0.2525,7.61,,,-,-,-,-,NA,51.3,3.2
isd_6_site_6_loc_1_repl_2_DNA,isd_6_site_6_loc_1,89,2016-06-15T20:05,15/06/2016,20:05,35.2599175,25.751435,"Greece: Crete, Lassithi",Lassithi,Kolokytha beach,Elounda,-,beach,6,"red soil, coastal",shrub land; sand,-,,coastal and littoral,-,-,3.6142,0.2568,31.9,,,-,-,-,-,NA,95.2,3.9
isd_6_site_6_loc_2_repl_2_DNA,isd_6_site_6_loc_2,90,2016-06-15T20:12,15/06/2016,20:12,35.259942,25.7513856,"Greece: Crete, Lassithi",Lassithi,Kolokytha beach,Elounda,-,beach,4,"red soil, coastal",shrub land; sand,-,,coastal and littoral,-,-,2.0624,0.2571,42.7,,,-,-,-,-,NA,71,1.3
isd_6_site_7_loc_1_repl_2_DNA,isd_6_site_7_loc_1,91,2016-06-15T23:49,15/06/2016,23:49,35.3326,25.2872,"Greece: Crete, Heraklion",Heraklion,Former US Base Gournes,Gournes,"coastal, arid, commoted, clay soil",sea coast; scrubland,3,-,road,forest pine,Pinus pinea,coastal and littoral,-,-,1.5129,0.2543,44,,,-,-,-,-,NA,16.9,0.9
isd_6_site_7_loc_2_repl_2_DNA,isd_6_site_7_loc_2,92,6/15/16,15/06/2016,-,35.3326,25.2872,"Greece: Crete, Heraklion",Heraklion,Former US Base Gournes,Gournes,"coastal, arid, commoted, clay soil",sea coast; scrubland,3,-,road,forest pine,Pinus pinea,coastal and littoral,-,-,1.1038,0.257,42.7,,,-,-,-,-,NA,9,0.6
isd_7_site_1_loc_1_repl_2_DNA,isd_7_site_1_loc_1,93,2016-06-15T19:15,15/06/2016,19:15,35.2211505,25.056671,"Greece: Crete, Heraklion",Heraklion,Dafnes,Dafnes,steep hill,olive groove; hillside,309,olive trees,crop trees,olive growth with strawberries,Olea spp.,lowland,-,1,6.8198,0.2559,12.9,,,loamy,olive & leaf,1,6.5,6.5,75.3,3.1
isd_7_site_1_loc_2_repl_2_DNA,isd_7_site_1_loc_2,94,2016-06-15T19:15,15/06/2016,19:15,35.2211505,25.056671,"Greece: Crete, Heraklion",Heraklion,Dafnes,Dafnes,steep hill,olive groove; hillside,309,olive trees,crop trees,olive growth with strawberries,Olea spp.,lowland,-,1,7.296,0.254,79.9,,,loamy,olive & leaf,1,6.5,6.5,62.9,2.3
isd_7_site_2_loc_1_repl_2_DNA,isd_7_site_2_loc_1,95,2016-06-15T19:45,15/06/2016,19:45,35.2249034,25.0606673,"Greece: Crete, Heraklion",Heraklion,Dafnes,Dafnes,vineyard,vineyard,234,vineyard,vine crops,grape vine,Vitex vinifera,lowland,-,4,8.3437,0.2587,16.3,,,loamy,vine leafs,-,5.8,5.8,61.7,1.2
isd_7_site_2_loc_2_repl_2_DNA,isd_7_site_2_loc_2,96,2016-06-15T19:45,15/06/2016,19:45,35.2249034,25.0606673,"Greece: Crete, Heraklion",Heraklion,Dafnes,Dafnes,vineyard,vineyard,234,vineyard,vine crops,grape vine,Vitex vinifera,lowland,-,4,15.5817,0.2544,10.2,,,loamy,vine leafs,-,5.8,5.8,61.8,1.4
isd_7_site_3_loc_1_repl_2_DNA,isd_7_site_3_loc_1,97,2016-06-15T16:50,15/06/2016,16:50,35.0175928,24.7608937,"Greece: Crete, Heraklion",Heraklion,Comos beach,Pitsidia,patches of juniperus on dune,coastal dune,18,,shrub land; sand,Juniperus spp.,Juniperus spp.,coastal and littoral,-,1,8.7312,0.258,6.39,,,sand & litter,"moss, juniperus leaves",1,7,7,150.8,5.7
isd_7_site_3_loc_2_repl_2_DNA,isd_7_site_3_loc_2,98,2016-06-15T16:50,15/06/2016,16:50,35.0175928,24.7608937,"Greece: Crete, Heraklion",Heraklion,Comos beach,Pitsidia,patches of juniperus on dune,coastal dune,18,,shrub land; sand,Juniperus spp.,Juniperus spp.,coastal and littoral,-,1,1.0471,0.2587,7.63,,,sand & litter,"moss, juniperus leaves",1,7,7,43.1,0.6
isd_7_site_4_loc_1_repl_2_DNA,isd_7_site_4_loc_1,99,2016-06-15T16:30,15/06/2016,16:30,35.0181392,24.760597,"Greece: Crete, Heraklion",Heraklion,Comos beach,Pitsidia,sand dunes with tamarisk,coastal dune,12,recreation,shrub land; sand,tamerisk,Tamarix parvifora,coastal and littoral,-,1,0.3397,0.2559,6.49,,,sand,tamarisk,1,7,7,32.4,0.6
isd_7_site_4_loc_2_repl_2_DNA,isd_7_site_4_loc_2,100,2016-06-15T16:30,15/06/2016,16:30,35.0181578,24.7606467,"Greece: Crete, Heraklion",Heraklion,Comos beach,Pitsidia,sand dunes with tamarisk,coastal dune,12,recreation,shrub land; sand,tamerisk,Tamarix parvifora,coastal and littoral,-,1,0.4871,0.2516,13.5,,,sand,tamarisk,1,7,7,35.9,0.9
isd_7_site_5_loc_1_repl_2_DNA,isd_7_site_5_loc_1,101,2016-06-15T16:05,15/06/2016,16:05,35.0192259,24.7619714,"Greece: Crete, Heraklion",Heraklion,Comos beach,Pitsidia,sand dunes,coastal dune,17,none,shrub land; sand,? shrubs on sand dune,,coastal and littoral,-,1,0.065,0.2533,1.09,,,sand,almost none,-,7,7,31.7,0
isd_7_site_5_loc_2_repl_2_DNA,isd_7_site_5_loc_2,102,2016-06-15T16:05,15/06/2016,16:05,35.0192259,24.7619714,"Greece: Crete, Heraklion",Heraklion,Comos beach,Pitsidia,sand dunes,coastal dune,17,none,shrub land; sand,? shrubs on sand dune,,coastal and littoral,-,1,0.0405,0.2502,1.87,,,sand,almost none,-,7,7,30,0
isd_7_site_6_loc_1_repl_2_DNA,isd_7_site_6_loc_1,103,2016-06-15T15:15,15/06/2016,15:15,35.0017028,24.81590556,"Greece: Crete, Heraklion",Heraklion,sideroad to Sivos,Listaros sideroad to Sivas ,hillside with sparse olivetrees and various shrubs,hillside; olive groove,171,,crop trees,various shrubs,,lowland,-,1,0.6804,0.2533,39.7,,,loam - gravel,grass,0.5,7,7,16.5,1.5
isd_7_site_6_loc_2_repl_2_DNA,isd_7_site_6_loc_2,104,2016-06-15T15:15,15/06/2016,15:15,35.0017028,24.81590556,"Greece: Crete, Heraklion",Heraklion,sideroad to Sivos,Listaros sideroad to Sivas ,hillside with sparse olivetrees and various shrubs,hillside; olive groove,171,,crop trees,various shrubs,,lowland,-,1,1.4456,0.2555,8.31,,,loam - gravel,grass,0.5,7,7,27.4,2.1
isd_7_site_7_loc_1_repl_2_DNA,isd_7_site_7_loc_1,105,2016-06-15T14:20,15/06/2016,14:20,34.93667,24.78222,"Greece: Crete, Heraklion",Heraklion,parking lot Agiofaraggo Gorge,Kaloi Limenes,sparse shrubs,gorge; scrubland; hillside,48,goat grazing,shrub land; crop trees,olive tree,Olea spp.,lowland,-,1,0.7522,0.2589,16.6,,,loam,"grass, moss, goat droppings, olive branches",<0.5,7,7,24.6,1.8
isd_7_site_7_loc_2_repl_2_DNA,isd_7_site_7_loc_2,106,2016-06-15T14:20,15/06/2016,14:20,34.93667,24.78222,"Greece: Crete, Heraklion",Heraklion,parking lot Agiofaraggo Gorge,Kaloi Limenes,sparse shrubs,gorge; scrubland; hillside,48,goat grazing,shrub land; crop trees,olive tree,Olea spp.,lowland,-,1,1.6994,0.2527,18,,,loam,"grass, moss, goat droppings, olive branches",<0.5,7,7,36.7,2.7
isd_7_site_8_loc_1_repl_2_DNA,isd_7_site_8_loc_1,107,2016-06-15T13:50,15/06/2016,13:50,34.9336111,24.7787583,"Greece: Crete, Heraklion",Heraklion,Agiofaraggo Gorge,Kaloi Limenes,ridge near stream,gorge; scrubland,78,none,shrub land,Vitex legarja (?),Vitex agnus-castus,lowland,-,1,2.7966,0.2538,4.39,,,sand,leaves,<0.5,7,7,41.6,1.3
isd_7_site_8_loc_2_repl_2_DNA,isd_7_site_8_loc_2,108,2016-06-15T13:50,15/06/2016,13:50,34.9336111,24.7787583,"Greece: Crete, Heraklion",Heraklion,Agiofaraggo Gorge,Kaloi Limenes,ridge near stream,gorge; scrubland,78,none,shrub land,Vitex legarja (?),Vitex agnus-castus,lowland,-,1,1.1752,0.2508,8.26,,,sand,leaves,<0.5,7,7,36.5,0.8
isd_7_site_9_loc_1_repl_2_DNA,isd_7_site_9_loc_1,109,2016-06-15T11:50,15/06/2016,11:50,34.9277848,24.7801661,"Greece: Crete, Heraklion",Heraklion,hillock in gorge Agiofaraggo Gorge,Kaloi Limenes,hillock in gorge shaded by trees,gorge; scrubland; hillside,20,goat grazing,shrub land; crop trees,"olive trees, putridus shrubs",Olea spp.,lowland,-,1,1.9994,0.2548,20.4,,,loamy rubble,"dry leaves, grass, goat droppings",0.5,7,7,93.3,4.5
isd_7_site_9_loc_2_repl_2_DNA,isd_7_site_9_loc_2,110,2016-06-15T11:50,15/06/2016,11:50,34.9277521,24.7801754,"Greece: Crete, Heraklion",Heraklion,hillock in gorge Agiofaraggo Gorge,Kaloi Limenes,hillock in gorge shaded by trees,gorge; scrubland; hillside,20,goat grazing,shrub land; crop trees,"olive trees, putridus shrubs",Olea spp.,lowland,-,1,1.6942,0.2544,15.7,,,loamy rubble,"dry leaves, grass, goat droppings",0.5,7,7,83.8,3.8
isd_7_site_10_loc_1_repl_2_DNA,isd_7_site_10_loc_1,111,2016-06-15T13:00,15/06/2016,13:00,34.9286112,24.7791604,"Greece: Crete, Heraklion",Heraklion,Agiofaraggo Gorge,Kaloi Limenes,shrubland,gorge; scrubland,29,goat grazing,shrub land; crop trees,Olive pistaccia,Olea spp.,lowland,-,1,1.4853,0.2551,7.18,,,loamy,"leaves, brunches, goat droppings",0.5,7,7,73.4,3.9
isd_7_site_10_loc_2_repl_2_DNA,isd_7_site_10_loc_2,112,2016-06-15T13:00,15/06/2016,13:00,34.9286248,24.7792166,"Greece: Crete, Heraklion",Heraklion,Agiofaraggo Gorge,Kaloi Limenes,shrubland,gorge; scrubland,28,goat grazing,shrub land; crop trees,Olive pistaccia,Olea spp.,lowland,-,1,1.7672,0.2591,19,,,loamy,"leaves, brunches, goat droppings",0.5,7,7,79.3,4
isd_7_site_11_loc_1_repl_2_DNA,isd_7_site_11_loc_1,113,2016-06-15T13:25,15/06/2016,13:25,34.930641,24.778588,"Greece: Crete, Heraklion",Heraklion,Agiofaraggo Gorge,Kaloi Limenes,,gorge; scrubland,83,,shrub land,oleander  ,Nerium oleander,lowland,-,1,0.8241,0.2543,2.47,,,sandy,oleander leaves,0.5,7,7,43.2,0.9
isd_7_site_11_loc_2_repl_2_DNA,isd_7_site_11_loc_2,114,2016-06-15T13:25,15/06/2016,13:25,34.930641,24.778588,"Greece: Crete, Heraklion",Heraklion,Agiofaraggo Gorge,Kaloi Limenes,,gorge; scrubland,83,,shrub land,oleander  ,Nerium oleander,lowland,-,1,0.4285,0.2509,4.32,,,sandy,oleander leaves,0.5,7,7,36.5,0.3
isd_7_site_12_loc_1_repl_2_DNA,isd_7_site_12_loc_1,115,2016-06-15T18:00,15/06/2016,18:00,35.0147056,24.7678821,"Greece: Crete, Heraklion",Heraklion,Pitsidia to Comos,Pitsidia,semiabandoned vineyard,vineyard,36,semiabandoned vineyard,vine crops,grape vine,Vitex vinifera,lowland,-,1,0.0584,0.2493,4.89,,,sandy,"sand, dry leaves",-,7,7,25.9,0.2
isd_7_site_12_loc_2_repl_2_DNA,isd_7_site_12_loc_2,116,2016-06-15T18:00,15/06/2016,18:00,35.0147056,24.7678821,"Greece: Crete, Heraklion",Heraklion,Pitsidia to Comos,Pitsidia,semiabandoned vineyard,vineyard,36,semiabandoned vineyard,vine crops,grape vine,Vitex vinifera,lowland,-,1,0.334,0.2528,8.54,,,sandy,"sand, dry leaves",-,7,7,27.5,0.2
isd_8_site_1_loc_1_repl_2_DNA,isd_8_site_1_loc_1,117,2016-06-15T11:12,15/06/2016,11:12,35.40972,24.63889,"Greece: Crete, Rethimno",Rethimno,Spilies Beach/Geropotamos,Rethimno,-,beach; road,14,beach river outlet,sand; road,salt cedar  ,Tamarix parviflora,coastal and littoral,<40,0.9,4.692,0.2555,18.7,,,-,"rocks, dry leaves",1,7.3,7.3,46.5,0.7
isd_8_site_1_loc_2_repl_2_DNA,isd_8_site_1_loc_2,118,2016-06-15T11:25,15/06/2016,11:25,35.40972,24.63889,"Greece: Crete, Rethimno",Rethimno,Spilies Beach/Geropotamos,Rethimno,-,beach; road,14,beach river outlet,sand; road,salt cedar  ,Tamarix parviflora,coastal and littoral,<40,0.9,2.1359,0.2556,13.4,,,-,"rocks, dry leaves",1,7.3,7.3,67.6,0.4
isd_8_site_2_loc_1_repl_2_DNA,isd_8_site_2_loc_1,119,2016-06-15T12:29,15/06/2016,12:29,35.32194,24.47611,"Greece: Crete, Rethimno",Rethimno,Armenoi,Armenoi,forest,oak woodland,400,grassland with trees,hardwood; shrubland; road,oak,Quercus spp.,sub-mountainous,<40,0.6,1.2029,0.2562,16.9,,,-,"rocks, dry leaves",0.5,7.5,7.5,9.2,0.9
isd_8_site_2_loc_2_repl_2_DNA,isd_8_site_2_loc_2,120,2016-06-15T12:39,15/06/2016,12:39,35.32194,24.47611,"Greece: Crete, Rethimno",Rethimno,Armenoi,Armenoi,forest,oak woodland,400,grassland with trees,hardwood; shrubland; road,oak,Quercus spp.,sub-mountainous,<40,0.95,1.692,0.2583,13.1,,,-,"rocks, dry leaves",0.5,7.5,7.5,22.4,2
isd_8_site_3_loc_1_repl_2_DNA,isd_8_site_3_loc_1,121,2016-06-15T14:20,15/06/2016,14:20,35.22083,24.53806,"Greece: Crete, Rethimno",Rethimno,Spili,Spili,grassland,grassland,530,grassland,meadow,grass,,sub-mountainous,40,0,4.028,0.2526,12.5,,,-,dried grass,1,8 - 8.2,8.1,55.7,4.7
isd_8_site_3_loc_2_repl_2_DNA,isd_8_site_3_loc_2,122,2016-06-15T14:30,15/06/2016,14:30,35.22083,24.53806,"Greece: Crete, Rethimno",Rethimno,Spili,Spili,grassland,grassland,530,grassland,meadow,grass,,sub-mountainous,40,0,2.6499,0.2569,23.8,,,-,dried grass,1,8 - 8.2,8.1,46.4,4.1
isd_8_site_4_loc_1_repl_2_DNA,isd_8_site_4_loc_1,123,2016-06-15T15:14,15/06/2016,15:14,35.21417,24.60556,"Greece: Crete, Rethimno",Rethimno,Gerakari,Gerakari,-,road; hillside,693,"roadside slope, very steep",hardwood; road,ivy,Hedera helix,sub-mountainous,<<40,1,2.266,0.2525,12.3,,,-,leaves,1,7,7,25.1,1.4
isd_8_site_4_loc_2_repl_2_DNA,isd_8_site_4_loc_2,124,2016-06-15T15:20,15/06/2016,15:20,35.21417,24.60556,"Greece: Crete, Rethimno",Rethimno,Gerakari,Gerakari,-,road; hillside,693,"roadside slope, very steep",hardwood; road,ivy,Hedera helix,sub-mountainous,<<40,0.9,2.2949,0.2526,12.9,,,-,leaves,1,7,7,22.6,1.4
isd_8_site_5_loc_1_repl_2_DNA,isd_8_site_5_loc_1,125,2016-06-15T15:30,15/06/2016,15:30,35.21417,24.60556,"Greece: Crete, Rethimno",Rethimno,Gerakari,Gerakari,-,road; hillside,693,"roadside slope, very steep",hardwood; road,platanos,Platanus orientalis,sub-mountainous,<40,1,1.7699,0.2598,11.7,,,-,leaves,1,7,7,10.6,0.8
isd_8_site_5_loc_2_repl_2_DNA,isd_8_site_5_loc_2,126,2016-06-15T15:40,15/06/2016,15:40,35.21417,24.60556,"Greece: Crete, Rethimno",Rethimno,Gerakari,Gerakari,-,road; hillside,693,"roadside slope, very steep",hardwood; road,platanos,Platanus orientalis,sub-mountainous,<40,1,3.2489,0.2573,12.7,,,-,leaves,1,7,7,5.7,0.5
isd_8_site_6_loc_1_repl_2_DNA,isd_8_site_6_loc_1,127,2016-06-15T19:15,15/06/2016,19:15,35.16583,24.42222,"Greece: Crete, Rethimno",Rethimno,Schinaria,Schinaria,-,beach,7,beach  ,sand,dwarf shrubs,,coastal and littoral,<40,1,0.0833,0.2554,1.14,,,-,sand; goat feces,0.5,7,7,1.6,0
isd_8_site_6_loc_2_repl_2_DNA,isd_8_site_6_loc_2,128,2016-06-15T19:25,15/06/2016,19:25,35.16583,24.42222,"Greece: Crete, Rethimno",Rethimno,Schinaria,Schinaria,-,beach,7,beach  ,sand,dwarf shrubs,,coastal and littoral,<40,1,0.0713,0.2517,1.2,,,-,sand; goat feces,0.5,7,7,1.6,0
isd_8_site_7_loc_1_repl_2_DNA,isd_8_site_7_loc_1,129,2016-06-15T19:30,15/06/2016,19:30,35.16583,24.42167,"Greece: Crete, Rethimno",Rethimno,Schinaria,Schinaria,-,beach,5,beach,sand; shrub land,shrubs,,coastal and littoral,<40,1,0.1216,0.254,3.62,,,-,sand; goat feces,0.5,7.1,7.1,4.4,0.1
isd_8_site_7_loc_2_repl_2_DNA,isd_8_site_7_loc_2,130,2016-06-15T19:40,15/06/2016,19:40,35.16583,24.42167,"Greece: Crete, Rethimno",Rethimno,Schinaria,Schinaria,-,beach ,5,beach,sand; shrub land,shrubs,,coastal and littoral,<40,1,0.067,0.2529,1.24,,,-,sand; goat feces,0.5,7.1,7.1,1.6,0
isd_9_site_1_loc_1_repl_2_DNA,isd_9_site_1_loc_1,131,2016-06-15T10:50,15/06/2016,10:50,35.30227,24.91309,"Greece: Crete, Rethimno",Rethimno,Kamaraki,Anogia,pasture,pasture,581,-,road; pastureland,-,,sub-mountainous,<40,1,3.4126,0.2526,59.2,,,loamy sand,ophiolithic (Ni),<10,7,7,14.6,1.1
isd_9_site_1_loc_2_repl_2_DNA,isd_9_site_1_loc_2,132,2016-06-15T11:00,15/06/2016,11:00,35.30227,24.91309,"Greece: Crete, Rethimno",Rethimno,Kamaraki,Anogia,pasture,pasture,581,-,road; pastureland,-,,sub-mountainous,<40,1,2.4266,0.2579,18.5,,,loamy sand,ophiolithic (Ni),<10,7,7,13.1,0.8
